pid,Academic_performance,Chinese_score,Math_score,Province,P_StopTV,P_Discuss,P_Supervising,P_Check_homework,C_Work_hard,C_Check_homwork,C_Self_discipline,C_Focus,Extra_tutorial_fee,Household_income_total,F_Edu_level,M_Edu_level,Household_type_Urban,Gender_Male,Edu_level_Junior,Edu_level_Primary,Keyschool_Yes,Keyclass_Yes,C_Attend_extra_tourial_or_not_Yes
441862110,7,4,4,广东省,5,1,5,2,5,4,5,4,5,5,2,1,0,1,0,1,0,0,1
441876401,3,2,2,广东省,1,2,4,1,4,4,4,4,1,5,4,3,0,1,0,1,0,0,0
441893108,6,4,3,广东省,3,4,4,4,4,2,4,4,1,5,4,3,0,1,0,1,0,0,0
441893110,5,3,3,广东省,3,2,3,3,1,2,4,4,1,5,4,3,0,0,1,0,0,0,0
441911104,3,2,2,广东省,4,1,4,1,2,2,2,3,1,6,3,3,0,1,1,0,0,0,0
441911105,3,2,2,广东省,4,1,4,1,2,2,2,4,1,6,3,3,0,1,1,0,0,0,0
441916108,5,3,3,广东省,2,2,4,3,2,4,2,2,6,5,4,3,0,1,1,0,0,1,0
441922401,7,4,4,广东省,5,4,5,5,5,5,5,5,1,5,3,3,0,0,0,1,0,0,0
441928104,2,2,1,广东省,4,4,4,5,2,4,4,4,1,5,3,2,0,1,1,0,0,1,0
441938106,7,4,4,广东省,2,2,4,3,3,2,4,4,1,5,3,3,0,0,0,1,0,0,0
441941104,3,2,2,广东省,4,3,4,2,4,3,2,4,1,6,2,2,0,0,1,0,0,1,0
441947105,4,2,3,广东省,4,5,4,4,5,4,4,4,6,6,3,3,1,1,0,1,0,0,1
441947106,7,4,4,广东省,4,5,5,5,4,4,4,5,6,6,3,3,1,0,0,1,0,0,1
441947551,5,3,3,广东省,4,5,5,5,4,2,4,4,6,6,3,3,1,1,0,1,0,0,1
441951106,7,4,4,广东省,4,4,5,5,2,2,4,4,1,6,4,4,1,1,0,1,1,0,0
441955103,3,2,2,广东省,4,3,4,4,5,5,5,5,1,5,4,3,1,0,1,0,0,0,0
441955104,5,4,2,广东省,4,3,4,4,5,5,5,5,1,5,4,3,1,0,0,1,0,0,0
441955105,5,4,2,广东省,4,4,4,4,5,5,5,5,1,5,4,3,1,0,0,1,0,0,0
441955106,5,3,3,广东省,4,4,4,5,4,4,4,4,1,5,4,3,1,1,0,1,0,0,0
441955107,3,2,2,广东省,5,3,5,5,5,5,5,2,1,5,4,3,1,1,0,1,0,0,0
441958104,3,2,2,广东省,4,3,4,4,4,4,4,4,1,5,3,2,1,0,0,1,0,0,0
